pdf,Title,Court,Date,No,page,Court_level,Argued,Decided,Others
g1,"Depuy, Inc. v. Zimmer Holdings, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","November 2, 2004, Decided ; November 3, 2004, Docketed",No. 02 C 4023,81,District,,2004/11/2,2004/11/03
g1,"Genesee Vending, Inc. v. Lorillard Tobacco Co.","United States District Court for the Eastern District of Michigan, Southern Division","November 2, 2004, Decided ; November 2, 2004, Filed",Case No. 04-60091,95,District,,2004/11/2,2004/11/02
g1,Gutnayer v. Cendant Corp.,United States Court of Appeals for the Seventh Circuit,"October 26, 2004, Submitted; November 8, 2004, Decided",No. 04-1624,102,Appeal,,2004/11/8,2004/10/26
g1,"Batesville Servs. v. Funeral Depot, Inc.","United States District Court for the Southern District of Indiana, Indianapolis Division","November 10, 2004, Decided",CASE NO. 1:02-cv-01011-DFH-TAB,107,District,,2004/11/10,
g1,"Oxford Global Res., Inc. v. Weekley-Cessnun","United States District Court for the Northern District of Texas, Dallas Division","November 12, 2004, Decided; November 12, 2004, Filed",Civil Action No. 3:04-CV-0330-N,126,District,,2004/11/12,2004/11/12
g1,Creative Copier Servs. v. Xerox Corp.,United States District Court for the District of Connecticut,"November 15, 2004, Decided",CIVIL ACTION NO. 3:01cv155 (SRU),130,District,,2004/11/15,
g1,"Internet Corporativo S.A. De C.V. v. Business Software Alliance, Inc.","United States District Court for the Southern District of Texas, Houston Division","November 15, 2004, Decided ; November 15, 2004, Filed",CIVIL ACTION NO. H-04-2322,141,District,,2004/11/15,2004/11/15
g1,"Worldwide Basketball & Sport Tours, Inc. v. NCAA",United States Court of Appeals for the Sixth Circuit,"February 3, 2004, Argued ; November 15, 2004, Decided ; November 15, 2004, Filed",File Name: 04a0395p.06,159,Appeal,2004/2/3,2004/11/15,2004/11/15
g1,"Defiance Hosp., Inc. v. Fauster-Cameron, Inc.","United States District Court for the Northern District of Ohio, Western Division","November 17, 2004, Decided",Case No. 3:01CV7578,174,District,,2004/11/17,
g1,"W. States Wholesale Natural Gas Antitrust Litig. v. Reliant Energy, Inc.",United States District Court for the District of Nevada,"November 17, 2004, Decided","(PAL), C.A. No. 3:04-449, CV-S-04-0531-PMP (PAL), C.A. No. 2:04-1079",198,District,,2004/11/17,
g1,"CTUnify, Inc. v. Nortel Networks, Inc.",United States Court of Appeals for the Sixth Circuit,"November 18, 2004, Filed",No. 03-6157,221,Appeal,,,2004/11/18
g1,In re Relafen Antitrust Litig.,United States District Court for the District of Massachusetts,"November 29, 2004, Decided",MASTER FILE NO. 01-12239-WGY,229,District,,2004/11/29,
g1,Costco Wholesale Corp. v. Hoen,United States District Court for the Western District of Washington,"December 1, 2004, Decided; December 1, 2004, Filed",No. C04-360P,250,District,,2004/12/1,2004/12/01
g1,BROOKS v. GOLDEN FEATHER REALTY SERVS.,"Court of Appeal of California, Third Appellate District","December 7, 2004, Filed",C045873,262,Appeal,,,2004/12/07
g1,"Midwestern Mach. Co. v. Northwest Airlines, Inc.",United States Court of Appeals for the Eighth Circuit,"February 13, 2004, Submitted ; December 7, 2004, Filed",No. 03-1664,267,Appeal,,,"2004/02/13, 2004/12/07"
g1,In re New Motor Vehicles Canadian Exp. Antitrust Litig.,United States District Court for the District of Maine,"December 8, 2004, Decided",MDL DOCKET No. 1532,289,District,,2004/12/8,
g1,Blue DOT Energy Co. v. United States,United States Court of Federal Claims,"December 13, 2004, Filed",No. 04-644C,376,,,,2004/12/13
g1,State ex rel. Cooper v. McClure,"North Carolina Superior Court, Wake County","December 14, 2004, Decided",03-CVS-005617,416,Superior,,2004/12/14,
g1,Applera Corp. v. MJ Research Inc.,United States District Court for the District of Connecticut,"December 16, 2004, Decided",3:98cv1201 (JBA),432,District,,2004/12/16,
g1,"Applera Corp. v. MJ Research, Inc.",United States District Court for the District of Connecticut,"December 22, 2004, Decided",3:98cv1201 (JBA),449,District,,2004/12/22,
g1,"Applera Corp. v. MJ Research, Inc.",United States District Court for the District of Connecticut,"December 22, 2004, Decided",3:98cv1201 (JBA),466,District,,2004/12/22,
g1,Rome Ambulatory Surgical Ctr. v. Rome Mem. Hosp.,United States District Court for the Northern District of New York,"December 22, 2004, Decided",5:01-CV-23,483,District,,2004/12/22,
g1,"Newcal Indus. v. IKON Office Solutions, Inc.",United States District Court for the Northern District of California,"December 23, 2004, Decided",No. C 04-2776 FMS,520,District,,2004/12/23,
g1,Fucile v. Visa U.S.A. Inc.,"Superior Court of Vermont, Chittenden County","December 27, 2004, Decided",No. S1560-03 Cnc,533,Superior,,2004/12/27,
g1,"SOUTH COAST CAB CO., INC., Plaintiff and Appellant, v. CITY OF ANAHEIM, et al., Defendants and Respondents.","Court of Appeal of California, Fourth Appellate District, Division Three","December 27, 2004, Filed",G031608 & G034127,537,Appeal,,,2004/12/27
g1,"Lewis v. Chelsea G.C.A. Realty P'ship, L.P.",Appellate Court of Connecticut,"December 28, 2004, Officially Released",(AC 23924),542,,,,2004/12/28
g1,"Maddaloni Jewelers, Inc. v. Rolex Watch U.S.A., Inc.",United States District Court for the Southern District of New York,"December 28, 2004, Decided ; December 29, 2004, Filed","Doc # 58, 02 Civ. 6438 (PKC)",551,District,,2004/12/28,2004/12/29
g1,"Jamsports & Entm't, LLC v. Paradama Prods.","United States District Court for the Northern District of Illinois, Eastern Division","January 3, 2005, Decided ; January 4, 2005, Docketed",Case No. 02 C 2298,573,District,,2005/1/3,2005/01/04
g1,"Rowe Entmt, Inc. v. William Morris Agency, Inc.",United States District Court for the Southern District of New York,"January 4, 2005, Decided ; January 5, 2005, Filed",98 Civ. 8272 (RPP),592,District,,2005/1/4,2005/01/05
g1,State v. Gianetti,"Superior Court of Connecticut, Judicial District of Fairfield, At Bridgeport","January 4, 2005, Decided ; January 11, 2005, Filed",CV04000594S,690,Superior,,2005/1/4,2005/01/11
g1,"Wal-Mart Stores, Inc. v. Visa U.S.A. Inc.",United States Court of Appeals for the Second Circuit,"August 25, 2004, Argued ; January 4, 2005, Decided","Docket Nos. 04-0344-cv, 04-1052-cv, 04-0514-cv, 04-1055-cv, 04-2105-cv",694,Appeal,2004/8/25,2005/1/4,
g1,In re Terazosin Hydrochloride Antitrust Litig.,United States District Court for the Southern District of Florida,"January 5, 2005, Decided ; January 5, 2005, Filed",CASE NO. 99-MDL-1317-SEITZ/KLEIN (ALL CASES),723,District,,2005/1/5,2005/01/05
g1,"Baker v. Jewel Food Stores, Inc.","Appellate Court of Illinois, First District, Third Division","January 12, 2005, Decided",No. 1-03-1002,763,District,,2005/1/12,
g1,Aventis Envtl. Sci. USA LP v. Scotts Co.,United States District Court for the Southern District of New York,"January 13, 2005, Decided ; January 14, 2005, Filed",99 Civ. 4015 (LAP)(THK),781,District,,2005/1/13,2005/01/14
g1,In re Carbon Black Antitrust Litig.,United States District Court for the District of Massachusetts,"January 18, 2005, Decided","CIVIL ACTION NO. 03-10191-DPW, MDL DOCKET NO. 1543",815,District,,2005/1/18,
g1,Carpet Group Int'l v. Oriental Rug Imps. Ass'n,United States District Court for the District of New Jersey,"January 19, 2005, Decided",Civil Action No. 95-5574 (JAG),848,District,,2005/1/19,
g1,Wilson Insulation of Augusta v. Masco Corp.,"United States District Court for the Northern District of Georgia, Atlanta Division","January 19, 2005, Decided; January 20, 2005, Filed",CIVIL ACTION NO. 1:03-CV-0580-JEC,857,District,,2005/1/19,2005/01/20
g1,"Winstar Communs., LLC v. Equity Office Props.",United States District Court for the Southern District of New York,"January 21, 2005, Decided ; January 24, 2005, Filed",04-CIV-3139 (KMW),866,District,,2005/1/21,2005/01/24
g1,"DirecTV, Inc. v. Rowland",United States District Court for the Western District of New York,"January 22, 2005, Decided",04-CV-297S,871,District,,2005/1/22,
g1,United States Philips Corp. v. Princo Corp.,United States District Court for the Southern District of New York,"January 24, 2005, Decided ; January 24, 2005, Filed","02 Civ. 246 (CLB), 04 Civ. 2825 (CLB)",878,District,,2005/1/24,2005/01/24
g1,"Indep. Ink, Inc. v. Ill. Tool Works, Inc.",United States Court of Appeals for the Federal Circuit,"January 25, 2005, Decided",04-1196,888,Appeal,,2005/1/25,
g1,Leider v. Ralfe,United States District Court for the Southern District of New York,"January 25, 2005, Decided",01 Civ. 3137 (HB)(FM),902,District,,2005/1/25,
g1,"Consol. Credit Agency v. Equifax, Inc.",United States District Court for the Central District of California,"January 26, 2005, Decided; January 26, 2005, Filed",Case No.: CV-03-1229 CAS (CWx),918,District,,2005/1/26,2005/01/26
g1,"B & H Med., L.L.C. v. ABP Admin., Inc.","United States District Court for the Eastern District of Michigan, Southern Division","January 28, 2005, Decided",Case No. 02-73615,931,District,,2005/1/28,
g1,"State v. Daicel Chem. Indus., Ltd.",Supreme Court of Idaho,"January 28, 2005, Filed","Docket No. 30379, 2005 Opinion No. 13",939,Supreme,,,2005/01/28
g1,U.S. Philips Corp. v. Princo Corp.,United States District Court for the Southern District of New York,"February 2, 2005, Decided","02 Civ. 246 (CLB), 04 Civ. 2825 (CLB)",950,District,,2005/2/2,
g1,Compuware Corp. v. IBM,"United States District Court for the Eastern District of Michigan, Southern Division","February 3, 2005, Decided ; February 3, 2005, Filed",Case No. 02-CV-70906 Case A,969,District,,2005/2/3,2005/02/03
g1,In re Napster Copyright Litig. v. Hummer Winblad Venture Partners,United States District Court for the Northern District of California,"February 3, 2005, Decided ; February 3, 2005, Filed","No. C MDL-00-1369 MHP, (No. C 04-1166 MHP)",986,District,,2005/2/3,2005/02/03
g1,Hoffman v. Stamper,Court of Appeals of Maryland,"February 4, 2005, Filed","No. 33, September Term, 2004",1005,Appeal,,,2005/02/04
g1,Deep v. Recording Indus. Ass'n of Am.,United States District Court for the Northern District of New York,"February 7, 2005, Decided ; February 10, 2005, Filed",1:04-MC-055 (LEK),1033,District,,2005/2/7,2005/02/10
g1,"H-Quotient, Inc. v. Knight Trading Group, Inc.",United States District Court for the Southern District of New York,"February 7, 2005, Decided ; February 9, 2005, Filed",03 Civ. 5889 (DAB),1038,District,,2005/2/7,2005/02/09
g1,Romero v. Philip Morris Inc.,Court of Appeals of New Mexico,"February 8, 2005, Filed","Docket No. 24,034",1047,Appeal,,,2005/02/08
g1,"Santana Prods. v. Bobrick Washroom Equip., Inc.",United States Court of Appeals for the Third Circuit,"March 23, 2004, Argued ; February 9, 2005, Opinion Filed",Nos: 03-1845/2283/2481,1085,Appeal,2004/3/23,,2005/02/09
g1,"Abraham v. Intermountain Health Care, Inc.","United States District Court for the District of Utah, Central Division","February 10, 2005, Decided ; February 10, 2005, Filed",Civil No. 2:01-CV-0919J,1106,District,,2005/2/10,2005/02/10
g1,In re Firearm Cases,"Court of Appeal of California, First Appellate District, Division One","February 10, 2005, Filed","A103211, A105309",1126,Appeal,,,2005/02/10
g1,Arroyo-Melecio v. Puerto Rican Am. Ins. Co.,United States Court of Appeals for the First Circuit,"February 14, 2005, Decided",No. 04-1045,1156,Appeal,,2005/2/14,
g1,"Southern Tool & Supply, Inc. v. Beerman Precision, Inc.","Court of Appeal of Louisiana, Fourth Circuit","February 14, 2005, Judgment Released",NO. 2004-CA-1791,1178,Appeal,,,2005/02/14
g1,"Jet 1 Ctr., Inc. v. City of Naples Airport Auth. (In re Jet 1 Ctr., Inc.)","United States Bankruptcy Court for the Middle District of Florida, Fort Myers Division","February 15, 2005, Decided","Chapter 11 Case, Case No. 9:03-bk-26514-ALP, Adv. No. 04-110, (Doc. No. 66)",1183,District,,2005/2/15,
g1,Lockheed Martin Corp. v. Boeing Co.,"United States District Court for the Middle District of Florida, Orlando Division","February 15, 2005, Decided",Case No. 6:03-cv-796-Orl-28KRS,1207,District,,2005/2/15,
g1,"Premiere Digital Access, Inc. v. Cent. Tel. Co.",United States District Court for the District of Nevada,"February 15, 2005, Decided ; February 24, 2005, Entered",CV-S-02-1015-DAE-(PAL),1220,District,,2005/2/15,2005/02/24
g1,State v. Weinschenk,Supreme Judicial Court of Maine,"November 16, 2004, Argued ; February 15, 2005, Decided",Docket: Ken-03-406,1229,Supreme,2004/11/16,2005/2/15,
g1,"S. Volkswagen, Inc. v. Centrix Fin., LLC",United States District Court for the District of Maryland,"February 15, 2005, Decided",Case No. RWT 04-cv-2577,1240,District,,2005/2/15,
g1,In re Remeron Direct Purchaser Antitrust Litig.,United States District Court for the District of New Jersey,"February 18, 2005, Decided",Master Docket No. 03-0085 (FSH),1261,District,,2005/2/18,
g1,In re Relafen Antitrust Litig.,United States District Court for the District of Massachusetts,"February 22, 2005, Decided",MASTER FILE NO. 01-12239-WGY,1274,District,,2005/2/22,
g1,"United States v. Dentsply Int'l, Inc.",United States Court of Appeals for the Third Circuit,"September 21, 2004, Argued ; February 24, 2005, Filed",No. 03-4097,1303,Appeal,2004/9/21,,2005/02/24
g1,Covad Communs. Co. v. Bell Atl. Corp.,United States Court of Appeals for the District of Columbia Circuit,"November 18, 2004, Argued ; March 1, 2005, Decided",No. 02-7057,1321,Appeal,2004/11/18,2005/3/1,
g1,"NicSand, Inc. v. 3M Co.","United States District Court for the Northern District of Ohio, Eastern Division","March 1, 2005, Decided ; March 1, 2005, Filed",Case No. 1:03CV2619,1334,District,,2005/3/1,2005/03/01
g1,SEIU Health & Welfare Fund v. Abbott Labs.,United States District Court for the Northern District of California,"March 2, 2005, Decided; March 2, 2005, Filed",No. C 04-4203 CW,1339,District,,2005/3/2,2005/03/02
g1,"Ray v. Equifax Info. Servs., LLC","United States District Court for the Northern District of Georgia, Atlanta Division","March 4, 2005, Decided; March 4, 2005, Filed",CIVIL ACTION NO. 1:04-CV-0482-JOF,1343,District,,2005/3/4,2005/03/04
g1,Schering-Plough Corp. v. FTC,United States Court of Appeals for the Eleventh Circuit,"March 8, 2005, Decided ; March 8, 2005, Filed",No. 04-10688,1350,Appeal,,2005/3/8,2005/03/08
g1,Truck-Rail Handling Inc. v. BNSF Ry. Co.,United States District Court for the Northern District of California,"March 8, 2005, Decided; March 8, 2005, Filed",No. C 02-02825 JSW,1371,District,,2005/3/8,2005/03/08
g1,"E&L Consulting, Ltd. v. Doman Indus.",United States District Court for the Eastern District of New York,"March 14, 2005, Decided",Civil Action No. CV-04-0594 (DGT),1386,District,,2005/3/14,
g1,Moore v. Garner,"United States District Court for the Eastern District of Texas, Tyler Division","March 14, 2005, Decided ; March 14, 2005, Filed",CIVIL ACTION NO. 6:04CV079,1399,District,,2005/3/14,2005/03/14
g1,Gov't Emples. Med. Plan v. Regence Blue Shield of Idaho,United States District Court for the District of Idaho,"March 15, 2005, Decided; March 15, 2005, Filed",Case No. CV-04-284-E-BLW,1403,District,,2005/3/15,2005/03/15
g1,Brownsburg Cmty. Sch. Corp. v. Natare Corp.,Supreme Court of Indiana,"March 17, 2005, Decided",No. 49S02-0409-CV-406,1418,Supreme,,2005/3/17,
g1,"Bellboy Corp. v. Allied Domecq Spirits & Wine USA, Inc.",United States District Court for the District of Minnesota,"March 21, 2005, Decided",Civil No. 04-4124 (DWF/JSM),1432,District,,2005/3/21,
g1,Marina Point Dev. Assocs. v. United States,"United States District Court for the Central District of California, Western Division","March 28, 2005, Decided ; March 28, 2005, Filed",Case No. ED CV 04-1387 R (RZx),1438,District,,2005/3/28,2005/03/28
g1,Sanders v. Lockyer,United States District Court for the Northern District of California,"March 28, 2005, Decided",No. C 04-02281 SI,1446,District,,2005/3/28,
g1,In re Lorazepam & Clorazepate Antitrust Litig.,United States District Court for the District of Columbia,"March 29, 2005, Decided; March 30, 2005, Filed; March 31, 2005, Filed",MDL Docket No. 1290; Misc. No. 99mc0276,1460,District,,2005/3/29,"2005/03/30, 2005/03/31"
g1,West Roofing Sys. v. Insulated Roofing Contrs.,"United States District Court for the Northern District of Ohio, Eastern Division","March 29, 2005, Decided; March 30, 2005, Filed",Case No. 1:04CV1293,1483,District,,2005/3/29,2005/03/30
g1,"Bradburn Parent Teacher Store, Inc. v. 3M",United States District Court for the Eastern District of Pennsylvania,"March 30, 2005, Decided",CIVIL ACTION NO. 02-7676,1489,District,,2005/3/30,
g1,"Choiceparts, LLC v. GMC","United States District Court for the Northern District of Illinois, Eastern Division","March 30, 2005, Decided",No. 01 C 0067,1515,District,,2005/3/30,
g1,"Funteas v. BP Prods. N. Am., Inc.","United States District Court for the Northern District of Illinois, Eastern Division","March 30, 2005, Decided",No. 03-C-7624,1528,District,,2005/3/30,
g1,"Last Atlantis Capital LLC v. Chi. Bd. Options Exch., Inc.","United States District Court for the Northern District of Illinois, Eastern Division","March 30, 2005, Decided ; March 30, 2005, Filed",No. 04 C 397,1537,District,,2005/3/30,2005/03/30
g1,"Recetas Por Menos, Inc. v. Five Dev. Corp.",United States District Court for the District of Puerto Rico,"March 30, 2005, Decided ; April 1, 2005, Filed",Civil No. 02-1925(SEC),1546,District,,2005/3/30,2005/04/01
g1,In re Ciprofloxacin Hydrochloride Antitrust Litig.,United States District Court for the Eastern District of New York,"March 31, 2005, Decided",1:00-MDL-1383 (DGT),1560,District,,2005/3/31,
g1,"Linkline Communs., Inc. v. SBC Cal., Inc.",United States District Court for the Central District of California,"March 31, 2005, Decided; April 1, 2005, Filed, April 4, 2005, Entered",CV 03-5265 SVW (SHx),1596,District,,2005/3/31,
g1,Reagan Nat'l Adver. v. Hartford Cas. Ins. Co.,"United States District Court for the District of Utah, Central Division","April 6, 2005, Decided; April 7, 2005, Filed",Case No. 2:03-CV-00967PGC,1609,District,,2005/4/6,2005/04/07
g1,"Wine And Spirits Retailers, Inc. v. Rhode Island",United States District Court for the District of Rhode Island,"April 8, 2005, Decided",C.A. No. 04-418-T,1620,District,,2005/4/8,
g1,"Ticketmaster Corp. v. Tickets.com, Inc.",United States Court of Appeals for the Ninth Circuit,"February 16, 2005, Argued and Submitted, Pasadena, California ; April 11, 2005, Filed",No. 03-55641,1632,Appeal,2005/2/16,,2005/04/11
g1,GF Gaming Corp. v. City of Black Hawk,United States Court of Appeals for the Tenth Circuit,"April 19, 2005, Filed","No. 04-1177, No. 04-1178",1635,Appeal,,,2005/04/19
g1,Welchlin v. Tenet Healthcare Corp.,"United States District Court for the District of South Carolina, Beaufort Division","April 19, 2005, Decided ; April 19, 2005, Filed",C.A. No. 9:03-3162-23,1654,District,,2005/4/19,2005/04/19
g1,In re Lorazepam & Clorazepate Antitrust Litig.,United States District Court for the District of Columbia,"April 22, 2005, Decided; April 22, 2005, Filed",MDL Docket No. 1290; Misc. No. 99mc0276,1682,District,,2005/4/22,2005/04/22
g1,Peterson v. Visa U.S.A. Inc.,"Superior Court of the District of Columbia, Civil Division","April 22, 2005, Decided",Civil Action No.: 03-8080,1689,Superior,,2005/4/22,
g1,Jones v. City of McMinnville,United States District Court for the District of Oregon,"April 25, 2005, Decided; April 25, 2005, Filed",Civ No. 04-0047-AA,1700,District,,2005/4/25,2005/04/25
g10,Flying J Inc. v. TA Operating Corp.,"United States District Court for the District of Utah, Northern Division","November 14, 2008, Decided; November 14, 2008, Filed",Case No. 1:06-CV-30-TC,21,District,,2008/11/14,2008/11/14
g10,Edwards v. City of Henry,"Appellate Court of Illinois, Third District","November 17, 2008, Modified Opinion Filed; August 19, 2008, Filed",No. 3-07-0652,33,District,,,"2008/11/17, 2008/08/19"
g10,Apple Inc. v. Psystar Corp.,United States District Court for the Northern District of California,"November 18, 2008, Decided; November 18, 2008, Filed",No. C 08-03251 WHA,45,District,,2008/11/18,2008/11/18
g10,"Romero v. Philip Morris, Inc.",Court of Appeals of New Mexico,"November 18, 2008, Filed","NO. 26,993",59,Appeal,,,2008/11/18
g10,"Lykes Bros., Inc. v. Aaction Mulch, Inc.","United States District Court for the Middle District of Florida, Tampa Division","November 19, 2008, Decided; November 19, 2008, Filed",Case No. 2:08-cv-399-FTM-34-SPC,78,District,,2008/11/19,2008/11/19
g10,In re Payment Card Interchange Fee & Merch. Disc. Antitrust Litig.,United States District Court for the Eastern District of New York,"November 25, 2008, Decided; November 25, 2008, Filed",05-MD-1720 (JG) (JO),81,District,,2008/11/25,2008/11/25
g10,"Research in Motion Ltd. v. Motorola, Inc.","United States District Court for the Northern District of Texas, Dallas Division","December 11, 2008, Decided; December 11, 2008, Filed",CIVIL ACTION NO. 3:08-CV-0284-G; 3:08-CV-0317-G,97,District,,2008/12/11,2008/12/11
g10,"Champagne Metals v. Ken-Mac Metals, Inc.",United States District Court for the Western District of Oklahoma,"December 12, 2008, Decided; December 11, 2008, Filed",NO. CIV-02-0528-HE,107,District,,2008/12/12,2008/12/11
g10,Commercial St. Express LLC v. Sara Lee Corp.,"United States District Court for the Northern District of Illinois, Eastern Division","December 18, 2008, Decided; December 18, 2008, Filed",Case No. 08 C 1179,128,District,,2008/12/18,2008/12/18
g10,Haw. Children's Blood & Cancer Group v. Haw. Pac. Health,United States District Court for the District of Hawaii,"December 19, 2008, Decided; December 22, 2008, Filed",CIVIL NO. 03-00708 SOM-LEK,133,District,,2008/12/19,2008/12/22
g10,"Dist. 1199P Health & Welfare Plan v. Janssen, L.P.",United States District Court for the District of New Jersey,"December 23, 2008, Decided; December 23, 2008, Filed",07-2860 (GEB),141,District,,2008/12/23,2008/12/23
g10,Animal Sci. Prods. v. China Nat'l Metals & Minerals Imp. & Exp. Corp.,United States District Court for the District of New Jersey,"December 30, 2008, Decided; December 30, 2008, Filed",Civ. No. 05-4376 (GEB),166,District,,2008/12/30,2008/12/30
g10,In re Hydrogen Peroxide Antitrust Litig.,United States Court of Appeals for the Third Circuit,"April 17, 2008, Argued; December 30, 2008, Filed",No. 07-1689,204,Appeal,2008/4/17,,2008/12/30
g10,In re Rail Freight Fuel Surcharge Antitrust Litig.,United States District Court for the District of Columbia,"December 31, 2008, Decided; December 31, 2008, Filed",MDL Docket No. 1869; Misc. No. 07-489 (PLF),240,District,,2008/12/31,2008/12/31
g10,Gulf States Reorganization Group v. Nucor Corp.,"United States District Court for the Northern District of Alabama, Eastern Division","January 5, 2009, Decided; January 5, 2009, Filed",Case No.: 1:02-cv-2600-RDP,259,District,,2009/1/5,2009/01/05
g10,Studio v. Action Dvd,"United States District Court for the Northern District of Ohio, Eastern Division","January 5, 2009, Decided; January 5, 2009, Filed",Case No.: 1:05 CV 1196,273,District,,2009/1/5,2009/01/05
g10,VIBO Corp. v. Conway,"United States District Court for the Western District of Kentucky, Louisville Division","January 5, 2009, Decided; January 5, 2009, Filed",CIVIL ACTION NO. 08-571-C,285,District,,2009/1/5,2009/01/05
g10,Oregon v. Legal Servs. Corp.,United States Court of Appeals for the Ninth Circuit,"October 23, 2008, Argued and Submitted, Portland, Oregon; January 8, 2009, Filed",No. 06-36012,313,Appeal,2008/10/23,,2009/01/08
g10,"Freedom Holdings, Inc. v. Cuomo",United States District Court for the Southern District of New York,"January 12, 2009, Decided; January 12, 2009, Filed",02 Civ. 2939 (AKH),324,District,,2009/1/12,2009/01/12
g10,"Omnicare, Inc. v. UnitedHealth Group, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","January 16, 2009, Decided; January 16, 2009, Filed",No. 06 C 6235,345,District,,2009/1/16,2009/01/16
g10,Somerville v. Stryker Orthopaedics,United States District Court for the Northern District of California,"January 16, 2009, Decided; January 16, 2009, Filed",No. C 08-02443 JSW,379,District,,2009/1/16,2009/01/16
g10,Teague v. Bayer AG,Court of Appeals of North Carolina,"August 26, 2008, Heard in the Court of Appeals; January 20, 2009, Filed",NO. COA07-1108,384,Appeal,,,"2008/08/26, 2009/01/20"
g10,Lambert v. Bd. of Comm'rs,United States District Court for the Eastern District of Louisiana,"January 22, 2009, Decided; January 22, 2009, Filed",CIVIL ACTION NO: 05-5931 SECTION: R(4),395,District,,2009/1/22,2009/01/22
g10,"Hackman v. Dickerson Realtors, Inc.","United States District Court for the Northern District of Illinois, Eastern Division","January 23, 2009, Decided; January 23, 2009, Filed",No. 06 C 50240,405,District,,2009/1/23,2009/01/23
g10,DSM Desotech Inc. v. 3D Sys. Corp.,"United States District Court for the Northern District of Illinois, Eastern Division","January 26, 2009, Decided; January 26, 2009, Filed",No. 08 CV 1531,416,District,,2009/1/26,2009/01/26
g10,Patel v. Callies,United States District Court for the District of Idaho,"January 26, 2009, Decided; January 26, 2009, Filed",Case No. 07-CV-474-WFD,429,District,,2009/1/26,2009/01/26
g10,"Applera Corp. v. Mich. Diagnostics, LLC",United States District Court for the District of Massachusetts,"January 27, 2009, Decided",CIVIL ACTION NO. 07-CV-10547-GAO,442,District,,2009/1/27,
g10,In re Marine Hose Antitrust Litig.,"United States District Court for the Southern District of Florida, Miami Division","January 28, 2009, Decided; January 28, 2009, Entered",Case No. 08-1888-MDL-GRAHAM/TURNOFF,455,District,,2009/1/28,2009/01/28
g10,"Delta Turner, Ltd. v. Grand Rapids - Kent County Convention/Arena Auth.","United States District Court for the Western District of Michigan, Southern Division","January 30, 2009, Decided; January 30, 2009, Filed",Case No. 1:08-cv-544,470,District,,2009/1/30,2009/01/30
g10,Italian Colors Rest. v. Am. Express Travel Related Servs. Co. (In re Am. Express Merchants' Litig.),United States Court of Appeals for the Second Circuit,"December 10, 2007, Argued; January 30, 2009, Decided",Docket No. 06-1871-cv,489,Appeal,2007/12/10,2009/1/30,
g10,BAE Sys. Info. & Elec. Sys. Integration v. Lockheed Martin Corp.,"Court of Chancery of Delaware, Kent","September 29, 2008, Submitted; February 3, 2009, Decided; February 3, 2009, EFiled",C.A. No. 3099-VCN,509,Chancery,,2009/2/3,"2008/09/29, 2009/02/03"
g10,"Alternative Electrodes, LLC v. Empi, Inc.",United States District Court for the Eastern District of New York,"February 4, 2009, Decided; February 4, 2009, Filed",No 08-CV-1247 (JFB) (ETB),525,District,,2009/2/4,2009/02/04
g10,"Emerson Elec. Co. v. Le Carbone Lorraine, S.A.",United States District Court for the District of New Jersey,"February 4, 2009, Decided; February 4, 2009, Filed",Civil Action No. 05-6042 (JBS),545,District,,2009/2/4,2009/02/04
g10,In re K-Dur Antitrust Litig.,United States District Court for the District of New Jersey,"February 4, 2009, Decided",Civil Action No. 01-1652 (JAG) (Consolidated Cases); MDL Docket No. 1419,548,District,,2009/2/4,
g10,Lannett Co. v. Kv Pharm.,United States District Court for the District of Delaware,"February 4, 2009, Decided; February 4, 2009, Filed",C.A. No. 08-338-BF,577,District,,2009/2/4,2009/02/04
g10,Walter Kozak D v. Hillsborough Pub. Transp. Comm'n,"United States District Court for the Middle District of Florida, Tampa Division","February 4, 2009, Decided; February 4, 2009, Filed",Case No. 8:04-CV-1162-T-27MSS,593,District,,2009/2/4,2009/02/04
g10,Apple Inc. v. Psystar Corp.,United States District Court for the Northern District of California,"February 6, 2009, Decided; February 6, 2009, Filed",No. C 08-03251 WHA,599,District,,2009/2/6,2009/02/06
g10,In re K-Dur Antitrust Litig.,United States District Court for the District of New Jersey,"February 6, 2009, Decided; February 6, 2009, Filed",Civil Action No. 01-1652 (JAG); MDL Docket No. 1419,605,District,,2009/2/6,2009/02/06
g10,Fair Isaac Corp. v. Experian Info. Solutions,United States District Court for the District of Minnesota,"February 9, 2009, Decided; February 9, 2009, Filed",CIVIL NO. 06-4112 (ADM/JSM),638,District,,2009/2/9,2009/02/09
g10,Grynberg v. BP P.L.C.,United States District Court for the District of Columbia,"February 9, 2009, Decided; February 9, 2009, Filed",Civil Action No. 1:08-CV-00301 - (JDB),656,District,,2009/2/9,2009/02/09
g10,Advanced Sci. Applications v. Pac. Bell Tel. Co.,"Court of Appeal of California, Fourth Appellate District, Division Three","February 10, 2009, Filed",G039287,664,Appeal,,,2009/02/10
g10,Savarirayan v. White County Cmty. Hosp.,"United States District Court for the Middle District of Tennessee, Nashville Division","February 10, 2009, Filed",Case No. 2:07-0055,679,District,,,2009/02/10
g10,"Flying J, Inc. v. Van Hollen",United States District Court for the Eastern District of Wisconsin,"February 11, 2009, Decided; February 11, 2009, Filed",Case No. 08-C-110,688,District,,2009/2/11,2009/02/11
