pdf,Title,Court,Date,No,page
D:/antitrust/Data 1/testing\b3.pdf,"Tim W. Koerner & Associates, Inc. v. Aspen Labs, Inc.","United States District Court for the Southern District of Texas, Houston Division",12-Jun-80,Civ. A. No. H-77-1597,1040
D:/antitrust/Data 1/testing\b3.pdf,Brown v. Cameron-Brown Co.,"United States District Court for the Eastern District of Virginia, Richmond Division.","June 13, 1980, Filed",Civil Action No. 78-0836-A.,1052
D:/antitrust/Data 1/testing\b3.pdf,Chirikos v. Yellow Cab Co.,"Appellate Court of Illinois, First District, First Division","June 16, 1980, Filed",No. 79-288,1067
D:/antitrust/Data 1/testing\b3.pdf,Virginia Academy of Clinical Psychologists v. Blue Shield of Virginia,United States Court of Appeals for the Fourth Circuit,"February 5, 1980, Argued ; June 16, 1980, Decided",No. 79-1345,1077
D:/antitrust/Data 1/testing\b3.pdf,Allied Int'l v. International Longshoremen's Ass'n,United States District Court for the District of Massachusetts,17-Jun-80,Civ. A. No. 80-584-S,1088
D:/antitrust/Data 1/testing\b3.pdf,In re Folding Carton Antitrust Litigation,"United States District Court for the Northern District of Illinois, Eastern Division.","June 26, 1980.",Master File No. MDL-250; Individual Action No. 78 C 102.,1106
D:/antitrust/Data 1/testing\b3.pdf,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,United States District Court for the Eastern District of Pennsylvania,26-Jun-80,"MDL No. 189, Civ. A. No. 74-2451",1109
D:/antitrust/Data 1/testing\b3.pdf,Feather v. United Mine Workers,United States District Court for the Western District of Pennsylvania,27-Jun-80,Civ. A. No. 76-955,1116
D:/antitrust/Data 1/testing\b3.pdf,Grams v. Boss,Supreme Court of Wisconsin,"June 4, 1980, Argued ; June 27, 1980, Decided",No. 78-567,1134
D:/antitrust/Data 1/testing\b3.pdf,"Morse v. Swank, Inc.",United States District Court for the Southern District of New York,30-Jun-80,No. 77 Civ. 5185 (CHT),1149
D:/antitrust/Data 1/testing\b3.pdf,Vermont International Petroleum Co. v. Amerada Hess Corp.,United States District Court for the Northern District of New York,1-Jul-80,"Nos. 75-CV-128, 75-CV-327",1156
D:/antitrust/Data 1/testing\b3.pdf,Allied Artists Pictures Corp. v. Rhodes,"United States District Court for the Southern District of Ohio, Eastern Division",10-Jul-80,No. C-2-78-1031,1169
D:/antitrust/Data 1/testing\b3.pdf,"Anderson Foreign Motors, Inc. v. New England Toyota Distributor, Inc.",United States District Court for the District of Massachusetts,10-Jul-80,Civ. A. No. 76-417-Mc,1216
D:/antitrust/Data 1/testing\b3.pdf,"Havoco of America, Ltd. v. Shell Oil Co.",United States Court of Appeals for the Seventh Circuit,"November 27, 1979, Argued ; July 10, 1980, Decided",No. 79-1261,1225
D:/antitrust/Data 1/testing\b3.pdf,Clarke v. Amerada Hess Corp.,United States District Court for the Southern District of New York,15-Jul-80,No. 73 Civ. 4263 (JMC),1235
D:/antitrust/Data 1/testing\b3.pdf,Katinsky v. Radio Shack Div. of Tandy Corp.,United States District Court for the District of New Jersey,24-Jul-80,Civ. No. 77-0462,1245
D:/antitrust/Data 1/testing\b3.pdf,"Golden West Insulation, Inc. v. Stardust Inv. Corp.",Court of Appeals of Oregon,"March 28, 1980, Argued and submitted ; July 28, 1980",CA No. 13665,1254
D:/antitrust/Data 1/testing\b3.pdf,Northeastern Tel. Co. v. American Tel. & Tel. Co.,United States District Court for the District of Connecticut,30-Jul-80,Civ. A. No. B-75-319,1267
D:/antitrust/Data 1/testing\b3.pdf,"State v. Lawn King, Inc.",Supreme Court of New Jersey,"February 20, 1980, Argued ; July 31, 1980, Decided",A-129,1289
D:/antitrust/Data 1/testing\b3.pdf,"State v. Hossan-Maxwell, Inc.",Supreme Court of Connecticut,"May 7, 1980, Argued ; August 5, 1980, Decided",No Number in Original,1309
D:/antitrust/Data 1/testing\b3.pdf,United States v. Colonial Chevrolet Corp.,United States Court of Appeals for the Fourth Circuit,"February 7, 1980, Argued ; August 12, 1980, Decided","Nos. 79-5237, 79-5238",1319
D:/antitrust/Data 1/testing\b3.pdf,Grendel's Den v. Goodwin,United States District Court for the District of Massachusetts,14-Aug-80,Civ. A. No. 77-3418-T,1328
D:/antitrust/Data 1/testing\b3.pdf,Ingram Corp. v. J. Ray McDermott & Co.,United States District Court for the Eastern District of Louisiana,14-Aug-80,Civ. A. No. 79-2575,1341
D:/antitrust/Data 1/testing\b3.pdf,"Hunt-Wesson Foods, Inc. v. Ragu Foods, Inc.",United States Court of Appeals for the Ninth Circuit,"December 5, 1979, Submitted ; August 15, 1980, Decided",No. 77-2286,1359
D:/antitrust/Data 1/testing\b3.pdf,Cleveland v. Cleveland Electric Illuminating Co.,"United States District Court for the Northern District of Ohio, Eastern Division",18-Aug-80,Civ. A. No. C75-560,1369
D:/antitrust/Data 1/testing\b3.pdf,"Quality Auto Body, Inc. v. Allstate Ins. Co.","United States District Court for the Northern District of Illinois, Eastern Division.","August 19, 1980.",No. 79 C 3351.,1388
D:/antitrust/Data 1/testing\b3.pdf,"Copper Liquor, Inc. v. Adolph Coors Co.",United States Court of Appeals for the Fifth Circuit,20-Aug-80,No. 78-3209,1396
D:/antitrust/Data 1/testing\b3.pdf,Illinois v. Sangamo Constr. Co.,"United States District Court, Central District of Illinois","August 21, 1980, Filed",Case No. 77-3004.,1409
D:/antitrust/Data 1/testing\b3.pdf,In re Chicken Antitrust Litigation,"United States District Court for the Northern District of Georgia, Atlanta Division",22-Aug-80,Civil No. C74-2454A,1417
D:/antitrust/Data 1/testing\b3.pdf,"Mid-Nebraska Bancshares, Inc. v. Board of Governors of Federal Reserve System",United States Court of Appeals for the District of Columbia Circuit,"October 1, 1979, Argued ; February 15, 1980, Decided",No. 78-1658,312
D:/antitrust/Data 1/testing\b3.pdf,"Altemose Constr. Co. v. Atlantic, Cape May . . . Counties Bldg. Trades Council",United States District Court for the District of New Jersey,19-Jun-80,Civ. A. No. 79-2912,1093
D:/antitrust/Data 1/testing\b4.pdf,"Sound, Inc. v. American Tel. & Tel. Co.",United States Court of Appeals for the Eighth Circuit,"April 15, 1980, Submitted ; August 25, 1980, Filed",No. 80-1047,21
D:/antitrust/Data 1/testing\b4.pdf,"Associated Radio Service Co. v. Page Airways, Inc.",United States Court of Appeals for the Fifth Circuit,29-Aug-80,No. 78-1159,34
D:/antitrust/Data 1/testing\b4.pdf,United Nuclear Corp. v. Gen. Atomic Co.,Supreme Court of New Mexico,"August 29, 1980, Decided","Nos. 11988, 12052",58
D:/antitrust/Data 1/testing\b4.pdf,"A.D.M. Corp. v. Sigma Instruments, Inc.",United States Court of Appeals for the First Circuit,"June 6, 1980, Argued ; September 5, 1980, Decided",No. 80-1088,164
D:/antitrust/Data 1/testing\b4.pdf,Massena v. Niagara Mohawk Power Corp.,United States District Court for the Northern District of New York.,"September 8, 1980, Filed",No. 79-CV-163.,167
D:/antitrust/Data 1/testing\b4.pdf,Shell Oil Co. v. Department of Energy,United States Court of Appeals for the Third Circuit,"August 7, 1980, Argued ; September 8, 1980, Decided",No. 79-2129,210
D:/antitrust/Data 1/testing\b4.pdf,Independent Milk Producers Co-op v. Stoffel,Court of Appeals of Wisconsin,"August 4, 1980, Submitted on Briefs ; September 9, 1980, Decided",No. 79-1256,214
D:/antitrust/Data 1/testing\b4.pdf,Osborn v. Pennsylvania-Delaware Service Station Dealers Asso.,United States District Court for the District of Delaware,11-Sep-80,Civ. A. No. 79-355,221
D:/antitrust/Data 1/testing\b4.pdf,United States v. Texas Citrus & Vegetable Growers & Shippers,"United States District Court for the Southern District of Texas, Brownsville Division.",11-Sep-80,Civil No. B-77-41.,229
D:/antitrust/Data 1/testing\b4.pdf,Rosebrough Monument Co. v. Memorial Park Cemetery Ass'n,"United States District Court for the Eastern District of Missouri, Eastern Division",15-Sep-80,No. 77-883C(1),232
D:/antitrust/Data 1/testing\b4.pdf,"Thi-Hawaii, Inc. v. First Commerce Financial Corp.",United States Court of Appeals for the Ninth Circuit,"June 12, 1980, Argued and Submitted ; September 15, 1980, Decided",No. 78-1302,240
D:/antitrust/Data 1/testing\b4.pdf,Mullins v. Kaiser Steel Corp.,United States Court of Appeals for the District of Columbia Circuit,"December 18, 1979, Argued ; September 17, 1980, Decided",No. 79-1463,247
D:/antitrust/Data 1/testing\b4.pdf,"Official Airline Guides, Inc. v. FTC",United States Court of Appeals for the Second Circuit,"June 17, 1980, Argued ; September 18, 1980, Decided","No. 1217, Docket 80-4028",280
D:/antitrust/Data 1/testing\b4.pdf,"Laurie Visual Etudes, Inc. v. ChesebroughPond's Inc.","Supreme Court of New York, Trial Term, New York County",22-Sep-80,No Number in Original,288
D:/antitrust/Data 1/testing\b4.pdf,"Human Resource Institute, Inc. v. Blue Cross of Virginia","United States District Court for the Eastern District of Virginia, Richmond Division",23-Sep-80,Civ. A. No. 78-0528-R,296
D:/antitrust/Data 1/testing\b4.pdf,Reading Indus. v. Kennecott Copper Corp.,United States Court of Appeals for the Second Circuit,"April 3, 1980, Argued ; September 24, 1980, Decided","No. 731, Docket 79-7762",302
D:/antitrust/Data 1/testing\b4.pdf,In re Wiring Device Antitrust Litigation,United States District Court for the Eastern District of New York,29-Sep-80,"MDL No. 331 (JBW), No. 79-C-3007 (JBW)",307
D:/antitrust/Data 1/testing\b4.pdf,"Copy-Data Systems, Inc. v. Toshiba America, Inc.",United States District Court for the Southern District of New York.,"September 30, 1980.",No. 75 Civ. 1368.,316
D:/antitrust/Data 1/testing\b4.pdf,New York State Electric & Gas Corp. v. Federal Energy Regulatory Com.,United States Court of Appeals for the Second Circuit,"March 31, 1980, Argued ; September 30, 1980, Decided","No. 714, Docket 79-4185",319
D:/antitrust/Data 1/testing\b4.pdf,Van Dyk Research Corp. v. Xerox Corp.,United States Court of Appeals for the Third Circuit,"June 11, 1980, Argued ; September 30, 1980, Decided",No. 79-2422,340
D:/antitrust/Data 1/testing\b4.pdf,Freidco of Wilmington v. Farmers Bank of Del.,United States District Court for the District of Delaware,1-Oct-80,Civ. A. No. 76-149,348
D:/antitrust/Data 1/testing\b4.pdf,"Hartford Distributors, Inc. v. Miller Brewing Co.",United States District Court for the District of Connecticut.,"October 3, 1980, Filed",Civil Action No. H 78-290.,357
D:/antitrust/Data 1/testing\b4.pdf,"Wilder Enterprises, Inc. v. Allied Artists Pictures Corp.",United States Court of Appeals for the Fourth Circuit,"January 10, 1980, Argued ; October 3, 1980, Decided",No. 79-1175,367
D:/antitrust/Data 1/testing\b4.pdf,AMA v. FTC,United States Court of Appeals for the Second Circuit,"May 2, 1980, Argued ; October 7, 1980, Decided","Nos. 995, 1050, Dockets 79-4214, 79-4226",374
D:/antitrust/Data 1/testing\b4.pdf,In re Blackwelder Furniture Co.,"United States Bankruptcy Court for the Western District of North Carolina, Statesville Division",7-Oct-80,"Bankruptcy No. St-B-79-0019, Adversary Proceeding No. ADV-80-0172",388
D:/antitrust/Data 1/testing\b4.pdf,"United States v. Armored Transport, Inc.",United States Court of Appeals for the Ninth Circuit,"May 7, 1980, Argued and Submitted ; October 7, 1980, Decided",No. 79-1620,401
D:/antitrust/Data 1/testing\b4.pdf,"Early v. Bristol Memorial Hospital, Inc.","United States District Court for the Eastern District of Tennessee, Northeastern Division",17-Oct-80,No. CIV-2-80-179,409
D:/antitrust/Data 1/testing\b4.pdf,Gold Seal Liquors v. Great Waters of Fr.,United States District Court for the Northern District of Illinois Eastern Division,20-Oct-80,No. 79 C 545,412
D:/antitrust/Data 1/testing\b4.pdf,U. S. Indus. v. Norton Co.,United States District Court for the Northern District of New York,22-Oct-80,No. 80-CV-359,417
D:/antitrust/Data 1/testing\b4.pdf,United States Indus. v. Norton Co.,United States District Court for the Northern District of New York.,23-Oct-80,No. 71-CV-359.,449
D:/antitrust/Data 1/testing\b4.pdf,"Crouse-Hinds Co. v. Internorth, Inc.",United States District Court for the Northern District of New York,25-Oct-80,No. 80-CV-722,481
D:/antitrust/Data 1/testing\b4.pdf,"Hawkins v. Holiday Inns, Inc.",United States Court of Appeals for the Sixth Circuit,"June 9, 1980, Argued ; November 5, 1980, Decided","Nos. 78-1244, 78-1245",485
D:/antitrust/Data 1/testing\b4.pdf,"Linmont Properties, Inc. v. Newman",United States District Court for the Eastern District of New York.,"November 5, 1980.",No. 74 C 40; No. 74 C 41,523
D:/antitrust/Data 1/testing\b4.pdf,In re Electric Weld Steel Tubing Antitrust Litigation,United States District Court for the Eastern District of Pennsylvania,6-Nov-80,MASTER FILE No. 79-4628,536
D:/antitrust/Data 1/testing\b4.pdf,Fleming v. Federal Trade Com.,United States District Court for the District of Columbia.,"November 10, 1980, Filed",Civil Action No. 80-2328; Civil Action No. 80-2329.,544
D:/antitrust/Data 1/testing\b4.pdf,Auburn News Co. v. Providence Journal Co.,United States District Court for the District of Rhode Island,14-Nov-80,Civ. A. No. 80-0446,550
D:/antitrust/Data 1/testing\b4.pdf,"United States v. Realty Multi-List, Inc.",United States Court of Appeals for the Fifth Circuit,14-Nov-80,No. 78-2481,563
D:/antitrust/Data 1/testing\b4.pdf,North Am. Soccer League v. National Football League,United States District Court for the Southern District of New York,17-Nov-80,No. 78 Civ. 4560-CSH,609
D:/antitrust/Data 1/testing\b4.pdf,Michigan Asso. of Psychotherapy Clinics v. Blue Cross & Blue Shield,Court of Appeals of Michigan,"May 19, 1980, Submitted ; November 19, 1980, Decided","Docket Nos. 45750, 45751",642
D:/antitrust/Data 1/testing\b4.pdf,Matanuska Maid v. State,Supreme Court of Alaska,21-Nov-80,"Nos. 4640, 4641",675
D:/antitrust/Data 1/testing\b4.pdf,In re Folding Carton Antitrust Litigation,"United States District Court for the Northern District of Illinois, Eastern Division",4-Dec-80,MDL No. 250,694
D:/antitrust/Data 1/testing\b4.pdf,Baldini v. New England Greyhound Asso.,United States District Court for the District of Massachusetts,5-Dec-80,CIVIL ACTION No. 77-1218-Z,706
D:/antitrust/Data 1/testing\b4.pdf,"Crouse-Hinds Co. v. Internorth, Inc.",United States District Court for the Northern District of New York,5-Dec-80,No. 80-CV-772,709
D:/antitrust/Data 1/testing\b4.pdf,"Fairdale Farms, Inc. v. Yankee Milk, Inc.",United States Court of Appeals for the Second Circuit,"June 16, 1980, Argued ; December 9, 1980, Decided","Nos. 1128, 1412, 1413, Dockets 80-7028, 80-7034, 80-7036",770
D:/antitrust/Data 1/testing\b4.pdf,City Products Corp. v. Berman,Supreme Court of Texas,10-Dec-80,No. B-8521,782
D:/antitrust/Data 1/testing\b4.pdf,Carlo C. Gelardi Corp. v. Miller Brewing Co.,United States District Court for the District of New Jersey,11-Dec-80,Civ. A. No. 76-824,788
D:/antitrust/Data 1/testing\b4.pdf,"WIXT Television, Inc. v. Meredith Corp.",United States District Court for the Northern District of New York,12-Dec-80,No. 78 Civ 602,807
D:/antitrust/Data 1/testing\b4.pdf,WILSON v. NATIONAL WRESTLING ALLIANCE,United States District Court for the Northern District of Georgia Atlanta Division,16-Dec-80,CIVIL ACTION No. C79-1310A,838
D:/antitrust/Data 1/testing\b4.pdf,"Eutectic Corp. v. Metco, Inc.",United States District Court for the Eastern District of New York,18-Dec-80,No. 80 C 268,840
D:/antitrust/Data 1/testing\b4.pdf,Eastern Dental Corp. v. Isaac Masel Co.,United States District Court for the Eastern District of Pennsylvania,22-Dec-80,Civ. A. No. 78-3790,844
D:/antitrust/Data 1/testing\b4.pdf,"Roberts v. Elaine Powers Figure Salons, Inc.",United States District Court for the Eastern District of California.,"December 22, 1980; Reversed and Remanded June 24, 1983",No. CIV S-3031.,857
D:/antitrust/Data 1/testing\b4.pdf,United States v. Federal Maritime Com.,United States Court of Appeals for the District of Columbia Circuit,"May 23, 1980, Argued ; December 29, 1980, Decided",No. 79-1325,872
D:/antitrust/Data 1/testing\b4.pdf,State v. Tacoma-Pierce County Multiple Listing Serv.,Supreme Court of Washington,31-Dec-80,"Nos. 45873, 45874, 45966",883
D:/antitrust/Data 1/testing\b4.pdf,"Duhamel v. Multiple Listing Service, Inc.","Supreme Court of New York, Special Term, Dutchess County",5-Jan-81,No Number in Original,895
D:/antitrust/Data 1/testing\b4.pdf,Allied Int'l v. International Longshoremen's Ass'n,United States Court of Appeals for the First Circuit,"October 8, 1980, Argued ; January 6, 1981, Decided",No. 80-1425,900
D:/antitrust/Data 1/testing\b4.pdf,United States v. American Tel. & Tel. Co.,United States District Court for the District of Columbia.,"January 7, 1981.",Civil Action No. 74-1698.,919
D:/antitrust/Data 1/testing\b4.pdf,"Venture Technology, Inc. v. National Fuel Gas Co.",United States District Court for the Western District of New York.,"January 9, 1981.",No. CIV-76-226.,923
D:/antitrust/Data 1/testing\b4.pdf,"Ohio v. United Transp., Inc.","United States District Court for the Southern District of Ohio, Eastern Division",28-Jan-81,No. C-2-78-924,952
D:/antitrust/Data 1/testing\b4.pdf,In re Midwest Milk Monopolization Litigation,"United States District Court for the Western District of Missouri, Western Division",29-Jan-81,"JPML Docket No. 83, Civ. No. 19191-1",962
D:/antitrust/Data 1/testing\b4.pdf,B. C. Recreational Indus. v. First Nat'l Bank,United States Court of Appeals for the First Circuit,"November 4, 1980, Argued ; January 30, 1981, Decided",No. 80-1383,1049
D:/antitrust/Data 1/testing\b4.pdf,Huberman v. Warminster Township,"Common Pleas Court of Bucks County, Pennsylvania","January 30, 1981, Decided",no. 80-9528-10-5,1057
D:/antitrust/Data 1/testing\b4.pdf,Maine Auto. Dealers Asso. v. Tierney,Supreme Judicial Court of Maine,"November 17, 1980, Argued ; February 3, 1981, Decided",Law Docket No. Ken-80-34,1067
D:/antitrust/Data 1/testing\b4.pdf,Coca-Cola Co. v. Federal Trade Com.,United States Court of Appeals for the District of Columbia Circuit,"October 25, 1978, Argued ; February 5, 1981, Decided","Nos. 78-1364, 78-1544",1071
D:/antitrust/Data 1/testing\b4.pdf,In re Cement & Concrete Antitrust Litigation,United States District Court for the District of Arizona.,"February 5, 1981.",MDL Docket No. 296.,1076
D:/antitrust/Data 1/testing\b4.pdf,"Consolidated Express, Inc. v. New York Shipping Asso.",United States Court of Appeals for the Third Circuit,"January 20, 1981, Argued; February 13, 1981, Filed","Nos. 78-1529, 78-1530",1081
D:/antitrust/Data 1/testing\b4.pdf,"Giummo v. Citibank, N. A.","Civil Court of the City of New York, New York County",13-Feb-81,No Number in Original,1087
D:/antitrust/Data 1/testing\b4.pdf,"Co-Opportunities, Inc. v. NBC, Inc.",United States District Court for the Northern District of California,17-Feb-81,No. C-79-2321-MHP,1092
D:/antitrust/Data 1/testing\b4.pdf,Crane Co. v. Harsco Corp.,United States District Court for the District of Delaware,17-Feb-81,Civ. A. No. 81-30,1100
D:/antitrust/Data 1/testing\b4.pdf,National Bank of Canada v. Interbank Card Asso.,United States Court of Appeals for the Second Circuit,"February 5, 1981, Argued ; February 20, 1981, Decided","No. 804, Docket 80-9122",1113
D:/antitrust/Data 1/testing\b4.pdf,"General Supplies, Inc. v. Southwire Co.",Supreme Court of South Carolina,23-Feb-81,No. 21395,1117
D:/antitrust/Data 1/testing\b4.pdf,"Red Diamond Supply, Inc. v. Liquid Carbonic Corp.",United States Court of Appeals for the Fifth Circuit. Unit A,23-Feb-81,No. 78-2751,1121
D:/antitrust/Data 1/testing\b4.pdf,"Sage International, Ltd. v. Cadillac Gage Co.","United States District Court for the Eastern District of Michigan, Southern Division",23-Feb-81,"Civ. A. Nos. 78-70064, 79-74829, 80-70493, 80-71074",1129
D:/antitrust/Data 1/testing\b4.pdf,All Am. Sch. Supply Co. v. Slavens,"Supreme Court of Arizona, In Division",25-Feb-81,No. 14694,1140
D:/antitrust/Data 1/testing\b4.pdf,JBL Enters. v. Jhirmack Enters.,United States District Court for the Northern District of California,25-Feb-81,"Nos. C-78-1227-WWS, C-80-0249-WWS",1143
D:/antitrust/Data 1/testing\b4.pdf,Mercantile Texas Corp. v. Board of Governors of Federal Reserve System,United States Court of Appeals for the Fifth Circuit. Unit A,25-Feb-81,No. 80-1528,1165
D:/antitrust/Data 1/testing\b4.pdf,Barry Wright Corp. v. ITT Grinnell Corp.,United States District Court for the District of Massachusetts,26-Feb-81,CIVIL ACTION No. 78-485-S,1181
D:/antitrust/Data 1/testing\b4.pdf,"Denver v. Santa Barbara Community Dialysis Center, Inc.","United States District Court, Central District of California.","February 26, 1981.",No. CV 80-4563-DWW (Tx).,1196
D:/antitrust/Data 1/testing\b4.pdf,"United Ventures, Inc. v. Fountain Indus.","United States District Court for the District of Minnesota, Second Division",27-Feb-81,Civil No. 2-79-23,1206
D:/antitrust/Data 1/testing\b4.pdf,Gowdish v. Eaton Corp.,United States District Court for the Middle District of North Carolina.,"March 2, 1981.",No. C-78-295-G.,1218
D:/antitrust/Data 1/testing\b4.pdf,International Service Agencies v. United Way of New York State,"Supreme Court of New York, Special Term, Albany County",9-Mar-81,No Number in Original,1226
D:/antitrust/Data 1/testing\b4.pdf,"Kinnett Dairies, Inc. v. Dairymen, Inc.","United States District Court for the Middle District of Georgia, Columbus Division",10-Mar-81,Civ. A. No. 1701,1229
D:/antitrust/Data 1/testing\b4.pdf,Three Phoenix Co. v. Pace Indus.,"Court of Appeals of Arizona, Division One, Department A",10-Mar-81,No. 1 CA-CIV 4773,1265
D:/antitrust/Data 1/testing\b4.pdf,SCM Corp. v. Xerox Corp.,United States Court of Appeals for the Second Circuit,"September 17, 1980, Argued ; March 12, 1981, Decided","No. 14, Docket 79-7017",1273
D:/antitrust/Data 1/testing\b4.pdf,Bally Mfg. Corp. v. N.J. Casino Control Com,Supreme Court of New Jersey,"December 1, 1980, Argued ; March 17, 1981, Decided",A-50 1980,1295
D:/antitrust/Data 1/testing\b4.pdf,Chrysler Corp. v. Fedders Corp.,United States Court of Appeals for the Sixth Circuit,"April 11, 1980, Argued ; March 18, 1981, Decided",No. 78-1287,1310
D:/antitrust/Data 1/testing\b4.pdf,"Balogh's of Coral Gables, Inc. v. Getz","United States District Court for the Southern District of Florida, Northern Division",19-Mar-81,No. 79-3765-CIV-JAG,1322
D:/antitrust/Data 1/testing\b4.pdf,"Summit Office Park, Inc. v. United States Steel Corp.",United States Court of Appeals for the Fifth Circuit. Unit A,19-Mar-81,No. 79-2094,1331
D:/antitrust/Data 1/testing\b4.pdf,"Chatham Brass Co. v. Honeywell, Inc.",United States District Court for the Southern District of New York,25-Mar-81,80 Civ. 2533 (WCC),1342
D:/antitrust/Data 1/testing\b4.pdf,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,United States District Court for the Eastern District of Pennsylvania,27-Mar-81,"Civ. A. Nos. 74-2451, 74-3247, MDL 189",1351
D:/antitrust/Data 1/testing\b4.pdf,Billy Jack for Her v. New York Coat,United States District Court for the Southern District of New York,31-Mar-81,No. 81 Civ. 1605 (RJW),1424
D:/antitrust/Data 1/testing\b4.pdf,"D. E. Rogers Associates, Inc. v. Gardner-Denver Co.",United States District Court for the Eastern District of Michigan Southern Division,31-Mar-81,No. 4-72222,1444
D:/antitrust/Data 1/testing\b4.pdf,"Pollock v. Citrus Associates of New York Cotton Exchange, Inc.",United States District Court for the Southern District of New York,31-Mar-81,No. 78 Civ. 0178,1452
D:/antitrust/Data 1/testing\b4.pdf,"Sharon Investment Corp., v. Spaghetti Place","Court of Appeals, Ninth Appellate District, Medina County, Ohio","April 1, 1981,",NO. 1003,1462
D:/antitrust/Data 1/testing\b4.pdf,"Carpenters Local Union No. 1846 v. Pratt-Farnsworth, Inc.",United States District Court for the Eastern District of Louisiana,2-Apr-81,Civ. A. No. 80-1570,1470
D:/antitrust/Data 1/testing\b4.pdf,People v. Roth,Court of Appeals of New York,"February 10, 1981, Argued ; April 2, 1981, Decided",No Number in Original,1486
D:/antitrust/Data 1/testing\b4.pdf,Hallie v. Chippewa Falls,"Court of Appeals of Wisconsin, District Iii",7-Apr-81,No. 80-1406,1494
D:/antitrust/Data 1/testing\b4.pdf,Marshall v. Miller,Supreme Court of North Carolina,"April 7, 1981, Filed",No. 72,1499
D:/antitrust/Data 1/testing\b4.pdf,"Richter Concrete Corp. v. Hilltop Basic Resources, Inc.","United States District Court for the Southern District of Ohio, Western Division",7-Apr-81,No. C-1-76-512,1509
D:/antitrust/Data 1/testing\b4.pdf,"California State Council of Carpenters, etc. v. Associated General Contractors, Inc.",United States Court of Appeals for the Ninth Circuit,"January 15, 1980, Argued and Submitted ; November 20, 1980, Decided",No. 77-2323,654
D:/antitrust/Data 1/testing\b4.pdf,Health Care Equalization Committee of Iowa Chiropractic Soc. v. Iowa Medical Soc.,"United States District Court for the Southern District of Iowa, Central Division",5-Nov-80,Civ. No. 79-381-A,489
D:/antitrust/Data 1/testing\b5.pdf,Plumbers & Steamfitters Local v. Morris,United States District Court for the Eastern District of Washington,9-Apr-81,No. C-76-171,21
D:/antitrust/Data 1/testing\b5.pdf,"Nationwide Mut. Ins. Co. v. Automotive Service Councils, Inc.",United States District Court for the District of Delaware.,"April 10, 1981.",Civil Action No. 78-323.,33
D:/antitrust/Data 1/testing\b5.pdf,Wineland v. Marketex Int'l,"Court of Appeals of Washington, Division One",13-Apr-81,No. 8252-3-I,37
D:/antitrust/Data 1/testing\b5.pdf,Malcolm v. Marathon Oil Co.,United States Court of Appeals for the Fifth Circuit. Unit B,17-Apr-81,No. 77-2515,43
D:/antitrust/Data 1/testing\b5.pdf,Island Tobacco Co. v. R. J. Reynolds Tobacco Co.,Supreme Court of Hawaii,20-Apr-81,No. 6685,71
D:/antitrust/Data 1/testing\b5.pdf,"Island Tobacco Co. v. R. J. Reynolds Industries, Inc.",United States District Court for the District of Hawaii,21-Apr-81,Civ. No. 78-0088,90
D:/antitrust/Data 1/testing\b5.pdf,"Tose v. First Pennsylvania Bank, N.A.",United States Court of Appeals for the Third Circuit,"Argued March 19, 1981 ; April 30, 1981",Nos. 80-2123 and 80-2334,114
D:/antitrust/Data 1/testing\b5.pdf,Rahal v. Crestmont Cadillac Corp.,"United States District Court for the Northern District of Ohio, Eastern Division",6-May-81,Civ. A. No. C80-2337,138
D:/antitrust/Data 1/testing\b5.pdf,West v. Whitney-Fidalgo Seafoods,Supreme Court of Alaska,8-May-81,No. 4747,149
D:/antitrust/Data 1/testing\b5.pdf,Zenith Radio Corp. v. Matsushita Elec. Indus. Co.,United States District Court for the Eastern District of Pennsylvania,13-May-81,"Civ. A. Nos. 74-2451, 74-3247, MDL 189",162
D:/antitrust/Data 1/testing\b5.pdf,J. Truett Payne Co. v. Chrysler Motors Corp.,Supreme Court of the United States,"January 21, 1981, Argued ; May 18, 1981, Decided",No. 79-1944,226
D:/antitrust/Data 1/testing\b5.pdf,"Cordova & Simonpietri Ins. Agency, Inc. v. Chase Manhattan Bank N.A.",United States Court of Appeals for the First Circuit,"February 5, 1981 Heard;  May 19, 1981 Decided",No. 80-1350,237
D:/antitrust/Data 1/testing\b5.pdf,Capital Tel. Co. v. Pattersonville Tel. Co.,"Supreme Court of New York, Appellate Division, Third Department",21-May-81,No Number in Original,249
D:/antitrust/Data 1/testing\b5.pdf,H. A. Artists & Assocs. v. Actors' Equity Ass'n,Supreme Court of the United States,"March 23, 1981, Argued ; May 26, 1981, Decided",No. 80-348,255
D:/antitrust/Data 1/testing\b5.pdf,Shea v. First Federal Sav. & Loan Asso.,Supreme Court of Connecticut,"January 9, 1981, Argued ; May 26, 1981, Decided",No Number in Original,271
D:/antitrust/Data 1/testing\b5.pdf,Tex. Indus. v. Radcliff Materials,Supreme Court of the United States,"March 3, 1981, Argued ; May 26, 1981, Decided",No. 79-1144,288
D:/antitrust/Data 1/testing\b5.pdf,Williams v. First Federal Sav. & Loan Asso.,United States Court of Appeals for the Fourth Circuit,"March 5, 1981, Argued ; May 26, 1981, Decided","Nos. 80-1446, 80-1005",302
